ds,Primary Sales,Sales Return,Breakage,Against Expiry
2024-06-17,1706.8610069107876,-111.45076738384451,-28.15909989496314,-120.36600964778475
2024-06-18,1287.4295267051866,-60.024891457135695,-36.62287912834244,-129.850923851637
2024-06-19,1095.5680190435207,-23.892476779973848,-35.844993923731614,-118.08942797662979
2024-06-20,780.0599348399578,-34.76622888076434,-38.69152016549896,-115.77288638311802
2024-06-21,945.8972542013307,-26.308753491071943,-24.989944758320636,-63.59571313706541
2024-06-22,1351.4281525172753,18.281046034351757,-13.56295885030188,-19.86375321973925
2024-06-24,2092.239797645601,-117.04450248678546,-6.335385907246619,-26.89077629972584
2024-06-25,2301.4872493524776,-67.07380930042248,-5.677926859093532,-40.762511774266116
2024-06-26,2855.593666549898,-35.990602474373205,-4.459239421536555,-44.07129636893069
2024-06-27,3286.053507201678,-51.91356242620452,-6.864963430350306,-56.825035245015826
